province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Kentucky,US,2021-08-08,36.73874143,-84.48102924,POINT(-84.48102924 36.73874143),2069,34,,,21147,McCreary,"McCreary, Kentucky, US"
Kentucky,US,2021-08-08,37.5301951,-87.26803443,POINT(-87.26803443 37.5301951),964,29,,,21149,McLean,"McLean, Kentucky, US"
Kentucky,US,2021-08-08,37.96163597,-86.21028219,POINT(-86.21028219 37.96163597),2239,27,,,21163,Meade,"Meade, Kentucky, US"
Kentucky,US,2021-08-08,37.94090733,-83.59985712,POINT(-83.59985712 37.94090733),511,17,,,21165,Menifee,"Menifee, Kentucky, US"
Kentucky,US,2021-08-08,37.81474237,-84.87488475,POINT(-84.87488475 37.81474237),2797,52,,,21167,Mercer,"Mercer, Kentucky, US"
Kentucky,US,2021-08-08,36.99459295,-85.63123699,POINT(-85.63123699 36.99459295),1175,31,,,21169,Metcalfe,"Metcalfe, Kentucky, US"
Kentucky,US,2021-08-08,36.71225341,-85.71596443,POINT(-85.71596443 36.71225341),1406,44,,,21171,Monroe,"Monroe, Kentucky, US"
Kentucky,US,2021-08-08,38.03253032,-83.9145241,POINT(-83.9145241 38.03253032),3051,30,,,21173,Montgomery,"Montgomery, Kentucky, US"
Kentucky,US,2021-08-08,37.92465657,-83.25558245,POINT(-83.25558245 37.92465657),2362,5,,,21175,Morgan,"Morgan, Kentucky, US"
Kentucky,US,2021-08-08,37.21425819,-87.14632053,POINT(-87.14632053 37.21425819),3543,70,,,21177,Muhlenberg,"Muhlenberg, Kentucky, US"
Kentucky,US,2021-08-08,37.80335779,-85.4657193,POINT(-85.4657193 37.80335779),5370,63,,,21179,Nelson,"Nelson, Kentucky, US"
Kentucky,US,2021-08-08,38.33342292,-84.01889177,POINT(-84.01889177 38.33342292),625,9,,,21181,Nicholas,"Nicholas, Kentucky, US"
Kentucky,US,2021-08-08,37.47751843,-86.85368087,POINT(-86.85368087 37.47751843),2723,55,,,21183,Ohio,"Ohio, Kentucky, US"
Kentucky,US,2021-08-08,38.39791089,-85.448222,POINT(-85.448222 38.39791089),8016,85,,,21185,Oldham,"Oldham, Kentucky, US"
Kentucky,US,2021-08-08,38.51679143,-84.82404619,POINT(-84.82404619 38.51679143),798,13,,,21187,Owen,"Owen, Kentucky, US"
Kentucky,US,2021-08-08,37.42823949,-83.68811419,POINT(-83.68811419 37.42823949),529,16,,,21189,Owsley,"Owsley, Kentucky, US"
Kentucky,US,2021-08-08,38.69607718,-84.35599463,POINT(-84.35599463 38.69607718),1134,4,,,21191,Pendleton,"Pendleton, Kentucky, US"
Kentucky,US,2021-08-08,37.25023553,-83.22922731,POINT(-83.22922731 37.25023553),3045,66,,,21193,Perry,"Perry, Kentucky, US"
Kentucky,US,2021-08-08,37.47088263,-82.39487445,POINT(-82.39487445 37.47088263),6397,113,,,21195,Pike,"Pike, Kentucky, US"
